;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 130106,SENSOR,1015.59 ,23940.60 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130153,SENSOR,1270.91 ,24078.44 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130240,SENSOR,1526.23 ,24216.28 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130327,SENSOR,1781.54 ,24354.11 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130414,SENSOR,2036.86 ,24491.95 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130501,SENSOR,2292.18 ,24629.79 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130548,SENSOR,2547.49 ,24767.63 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130635,SENSOR,2802.81 ,24905.46 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130722,SENSOR,3058.13 ,25043.30 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130809,SENSOR,3313.45 ,25181.14 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130856,SENSOR,3568.76 ,25318.98 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 130943,SENSOR,3824.08 ,25456.82 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131030,SENSOR,4079.40 ,25594.65 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131117,SENSOR,4334.72 ,25732.49 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131204,SENSOR,4590.03 ,25870.33 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131251,SENSOR,4845.35 ,26008.17 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131338,SENSOR,5100.67 ,26146.00 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131425,SENSOR,5355.99 ,26283.84 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131512,SENSOR,5611.30 ,26421.68 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131559,SENSOR,5866.62 ,26559.52 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131646,SENSOR,6121.94 ,26697.35 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131733,SENSOR,6377.26 ,26835.19 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131820,SENSOR,6632.57 ,26973.03 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 131907,SENSOR,6887.89 ,27110.87 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
